"location","race_ethnicity","age","percent","total_population"
"06","latino","0-17",0.119,39538212
"06","white","0-17",0.052,39538212
"06","asian","0-17",0.028,39538212
"06","black","0-17",0.01,39538212
"06","other","0-17",0.018,39538212
"06","latino","18-64",0.253,39538212
"06","white","18-64",0.219,39538212
"06","asian","18-64",0.111,39538212
"06","black","18-64",0.055,39538212
"06","other","18-64",0.003,39538212
"06","latino","65+",0.032,39538212
"06","white","65+",0.076,39538212
"06","asian","65+",0.024,39538212
"06","black","65+",0.007,39538212
"06","other","65+",0.001,39538212
"37","white","0-17",0.136,10439459
"37","asian","0-17",0.008,10439459
"37","black","0-17",0.05,10439459
"37","other","0-17",0.021,10439459
"37","white","18-64",0.43,10439459
"37","asian","18-64",0.024,10439459
"37","black","18-64",0.133,10439459
"37","other","18-64",0.029,10439459
"37","white","65+",0.133,10439459
"37","asian","65+",0.003,10439459
"37","black","65+",0.028,10439459
"37","other","65+",0.004,10439459
